"GDP per capita, PPP (constant 2017 international $)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,1437.93,1315.74,1260.05,863.66,639.71,945.09,896.17,852,813.84,774.45,750.13,731.18,1189.78,1235.81,1200.28,1286.79,1315.79,1460.83,1484.11,1758.9,1957.03,1904.56,2075.49,2116.47,2102.38,2068.27,2057.07,2058.4,2033.8,2065.04,1970.56
2,4827.04,3496.38,3264.83,3598.82,3921.62,4471.61,4908.94,4400.32,4819.08,5474.86,5892.59,6441.45,6753.89,7154.01,7580.14,8040.1,8568.57,9150.13,9912.17,10313.92,10749.49,11052.8,11227.97,11361.27,11586.84,11878.46,12291.87,12770.97,13317.1,13656.6,13192.45
3,8746.34,8431.38,8383.76,8027.37,7792.07,7935.17,8116.95,8074.75,8360.14,8506.33,8710.44,8855.01,9232.42,9771.67,10058.43,10504.85,10527.41,10717.77,10796.89,10782.35,10970.69,11078.23,11233.52,11319.08,11512.69,11696.95,11826.15,11737.4,11630.68,11521.98,10735.38
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,33732.01,33897.23,34268.54,33905.88,34576.54,35177.66,35548.63,36250.69,37413.44,38494.95,39732.28,40226.63,40388.63,40433.49,41272.63,41643.99,42367.57,43127.21,42996.21,41546.49,42147.67,42864.02,42790.63,42816.27,43021.39,43345.79,43705.15,44577.06,45284,46017.77,42313.19
6,5783.43,5649.78,5148.25,3788.51,3717.37,4139.64,4551.65,4728.16,4792.68,4740.67,4727.97,4766.84,5240.84,5218.21,5593.24,6210.22,6681.1,7341.87,7864.37,7643.5,7692.43,7675.45,8036.69,8140.53,8239.83,8036.41,7569,7310.9,6933.5,6670.33,6110.27
7,23973.54,18539.29,22790.69,23226.21,24799.53,23335.32,23301.04,24863.82,27786.68,28338.86,27779.36,27060.3,24542.92,25708.55,29423.96,33021.09,38543.43,45318.74,44612.31,33801.57,31501.11,31154.98,28920.15,27545.48,28786.99,29589.05,28011.78,24174.53,25343.55,26223.54,26223.54
8,15458.69,15588.26,15500.73,15992.15,16698.4,15628.32,16303.43,16828.35,17260.57,17551.73,18313.63,17207.91,17143.59,17953.05,18743.57,19683.84,21849.22,23511.07,23131.93,20048.02,18206.02,17605.44,17966.34,17643.13,18104.68,18594.55,19419.63,19840.28,21017.26,21850.13,17293.3
9,14144.76,15221.79,16209.33,17312.03,18092.02,17362.52,18104.7,19347.54,19866.25,18981.17,18625.28,17610.76,15523.04,16714.67,18032.61,19426.44,20777.65,22424.12,23103.46,21519.89,23521.27,24647.63,24118.87,24424.14,23550.1,23933.89,23189.53,23597.12,22747.24,22066.1,19690.66
10,5180.06,4616.94,2735.79,2554.17,2757.23,3008.23,3234.07,3378.94,3654.05,3798.67,4048.25,4464.39,5081.52,5823.72,6472.14,7419.87,8464.49,9708.42,10467.53,9052.38,9286.2,9725.28,10397.65,10691.28,11019.84,11321.33,11303.07,12115.14,12715.11,13653.76,12619.89
11,37035.03,38455.21,38559.1,38948.31,39830.52,39004.78,38097.98,39714.09,39655.92,39367.02,41499.64,39388.35,37256.66,37200.06,39440.67,39407.19,39504.47,40058.31,39968.28,35731.99,34343.15,35392.61,34732.5,35980.16,35875.63,37715.93,38314.81,38897.12,38211.83,37982.19,37982.19
12,31016.42,30502.61,30259.42,31173.47,32073.03,32902.77,33724.97,34653.19,35876.22,37219.64,38217.45,38474.15,39533.22,40262.91,41472.54,42222.27,42738.47,44072.88,44743.66,44649.16,44914.98,45389.17,46350.92,46744.63,47232.88,47569.29,48116.03,48398.55,49029.11,49309.11,48690.48
13,37494.56,38399.67,38774.49,38658.65,39435.21,40425.39,41319.37,42136.66,43597.89,45060.62,46469.86,46878.92,47419.28,47633.11,48633.27,49387.03,50840.69,52565.07,53166.05,51030.72,51843.43,53179.15,53297.44,52997.75,52932.9,52873.86,53345.74,54172.99,55258.37,55833.56,51855.71
14,7616.91,7463.63,5690.18,4309.92,3414.51,2977,2985.34,3128.16,3408.48,3628.72,3998.52,4360.46,4736.56,5180.69,5610.76,7106.6,9453.94,11684.19,12672.38,13565.86,14082.24,13913.84,14027.47,14651.69,14867.94,14852.61,14232.19,14121.41,14209.59,14442.04,13726.77
15,38144.15,35879.7,33855.81,33328.96,33782.25,34716.54,35698.51,37703.88,35604.78,39477.24,40565.93,41001.75,41420.99,40183.3,39804.52,40401.53,40644.64,40456.01,38792.45,36543.08,36547.43,36296.39,37005.38,35331.17,35801.92,36023.6,35701.23,35917.76,36539.66,36432.52,30846.58
16,38601.03,41770.64,43430.27,47819.42,46538.77,47157.22,47825.87,47957.07,48717.18,48988.57,49406.29,48245.78,47311.75,47476.98,47661.39,47493.15,46910.19,47000.32,46408.83,44759.39,44599.8,44157.48,45035.98,46930.83,48201.16,48110.73,47937.71,47709.78,46389.26,45311.86,41480.58
17,1517.73,1534.53,1582.31,1621.33,1648.73,1696.57,1735.92,1775.96,1829.5,1876.6,1937.73,1998.07,2037.24,2097.17,2171.69,2279.53,2399.08,2537.11,2659.05,2762.18,2883.47,3034.95,3195.78,3349.03,3511.65,3700.11,3920.14,4160.7,4440.86,4753.73,4871.45
18,13984.19,13388.59,12579.47,12632.19,12836.38,13042.62,13505.8,14086.07,14548.82,14537,15124.44,14713.4,14778.87,15050.4,15210.07,15752.36,16612.73,16903.87,16946.67,16019.71,15596.62,15444.75,15335.85,15088.44,15041.55,15382.77,15738.08,15789.04,15674.9,15639.05,12655.4
19,8895.17,8784.38,7923.65,7305.31,6458.21,5805.36,5988.04,6698.46,7293.91,7575.92,8053.17,8477.08,8961.64,9660.19,10839.96,11940.19,13214.87,14417.35,15942.9,16014.12,17300.7,18274.02,18611.45,18805.43,19119.35,18362.75,17883.13,18356.1,18974.7,19279.21,19186.78
20,35506.93,36023.68,36426.99,35935.96,36981.45,37784.15,38208.72,39562.37,40252.47,41583.1,43024.14,43347.89,43890.6,44160.91,45540.47,46342.19,47212.58,48590.4,48423.52,47064.79,47972.56,48154.87,48210.92,48204.59,48748.62,49456.4,49829.93,50442.27,51126.67,51944.17,48720.11
21,4854.98,5310.14,5852.83,6116.24,6002.79,5887.26,5784.2,5775.29,5765.63,6042.65,6599.32,6698.16,6819.46,7261.12,7413.88,7363.85,7519.41,7363.4,7426.87,7257.73,7294.66,7259.64,7264.64,7194.62,7322.88,7358.62,7206.95,7193.63,7261.69,7251.89,6121.84
22,2175.21,2191.84,2179.51,2227.35,2195.82,2253.12,2277.76,2336.55,2358.28,2411.99,2478.22,2532.63,2570.79,2579.7,2614.21,2581.64,2606.82,2685.13,2738.19,2724.08,2704.71,2707.87,2759.85,2876.9,2975.85,2945.97,2961.44,3044.52,3160.78,3287.31,3323.14
