GINI Index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,44.484,44.484,44.484,44.484,44.484,44.484,44.484,44.484,44.484,44.484,44.484,44.484,44.484,44.484,44.484,44.484,44.484,44.484,44.484,44.136,43.787,43.439,43.09,43.497,43.904,44.311,44.718,45.125,45.125,45.125,45.125
2,32.926,32.926,32.926,32.926,32.926,32.926,32.926,33.496,34.067,34.637,35.207,35.777,36.348,36.068,35.788,35.508,35.333,35.158,34.983,34.813,34.644,34.475,34.305,36.386,38.468,37.095,37.817,37.349,36.351,35.634,34.758
3,41.563,41.084,40.605,40.127,39.648,39.169,38.835,38.5,38.166,37.831,37.497,37.162,36.828,36.493,36.159,35.824,35.49,35.155,34.821,34.486,34.152,33.817,33.483,33.483,33.483,33.483,33.483,33.483,33.483,33.483,33.483
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,30.604,30.604,30.604,30.604,30.604,30.604,30.604,30.604,30.604,30.604,30.604,30.604,30.604,30.604,30.64,30.677,30.713,30.749,30.786,30.822,30.859,30.895,30.932,30.968,31.005,31.041,31.078,31.078,31.078,31.078,31.078
6,62.807,62.807,62.807,62.807,62.807,62.807,62.807,62.807,62.807,62.807,62.807,62.807,62.028,61.248,60.468,59.688,58.909,58.129,57.349,56.57,57.155,57.74,58.325,58.91,59.495,60.08,60.665,61.25,61.835,62.42,62.42
7,50.267,50.231,50.195,50.374,50.553,50.419,50.285,50.767,51.29,51.845,52.288,52.171,51.863,51.412,50.817,49.997,49.421,49.464,49.311,49.26,48.788,48.128,47.68,47.643,47.278,47.011,47.18,47.384,47.9,48.39,48.968
8,50.267,50.231,50.195,50.374,50.553,50.419,50.285,50.767,51.29,51.845,52.288,52.171,51.863,51.412,50.817,49.997,49.421,49.464,49.311,49.26,48.788,48.128,47.68,47.643,47.278,47.011,47.18,47.384,47.9,48.39,48.968
9,44.818,45.079,43.13,42.497,43.366,46.227,46.606,46.494,48.311,47.263,48.615,50.352,49.571,46.422,43.707,42.617,44.08,43.577,41.215,41.135,41.002,40.591,38.775,38.643,39.059,39.176,39.293,38.78,39.497,39.882,39.954
10,44.142,44.142,44.142,44.142,44.142,44.142,44.142,41.935,39.728,37.521,37.244,36.968,36.564,35.164,38.385,37.337,32.866,33.986,32.446,31.64,33.074,32.536,32.761,33.484,34.076,34.752,34.8,35.652,36.209,32.902,29.505
11,50.267,50.231,50.195,50.374,50.553,50.419,50.285,50.767,51.29,51.845,52.288,52.171,51.863,51.412,50.817,49.997,49.421,49.464,49.311,49.26,48.788,48.128,47.68,47.643,47.278,47.011,47.18,47.384,47.9,48.39,48.968
12,33.11,33.078,33.046,33.014,32.982,32.95,33.081,33.211,33.341,33.471,33.602,33.732,33.731,33.73,33.155,33.735,34.315,34.895,35.475,35.145,34.815,34.729,34.643,34.557,34.471,34.111,33.751,34.044,34.337,34.337,34.337
13,26.185,27.236,28.288,29.339,30.39,31.442,31.058,30.674,30.291,29.85,29.409,28.969,29.167,29.364,29.562,29.897,28.754,29.656,30.586,30.383,31.417,30.359,30.944,30.607,31.043,30.662,30.722,30.994,29.982,30.978,30.388
14,36.544,36.544,36.544,36.544,36.544,36.544,36.748,36.953,37.158,37.363,37.568,37.773,29.528,30.71,30.493,30.44,28.912,27.384,25.857,24.329,22.801,21.273,19.745,18.217,16.69,15.162,16.511,17.86,19.21,19.21,19.21
15,50.15,50.284,50.418,50.551,50.685,50.819,50.953,51.086,51.22,51.354,51.487,51.621,51.491,51.36,51.23,51.1,50.969,50.839,50.708,50.578,50.447,50.317,50.187,50.056,50.056,50.056,50.056,50.056,50.056,50.056,50.056
16,37.213,37.126,37.022,36.906,37.146,37.397,37.656,37.917,38.003,38.087,38.165,38.177,38.451,38.795,38.82,38.959,38.42,37.999,37.97,38.083,37.942,37.521,37.641,37.224,37.174,37.2,36.433,35.61,35.161,34.591,34.648
17,42.426,42.744,43.062,43.38,43.698,44.016,44.334,44.652,44.97,45.288,45.606,45.924,46.242,46.56,46.878,47.196,47.067,46.938,46.809,46.68,46.55,46.891,47.232,47.573,47.914,48.255,48.596,48.596,48.596,48.596,48.596
18,50.441,50.735,51.029,51.322,51.616,51.91,52.203,52.497,52.791,53.085,53.378,53.672,53.966,54.26,54.553,54.847,55.141,55.435,55.728,56.022,56.316,56.316,56.316,56.316,56.316,56.316,56.316,56.316,56.316,56.316,56.316
19,24.342,25.153,25.963,26.773,27.584,28.394,30.461,32.528,34.594,34.363,33.931,33.525,33.331,32.25,30.531,31.334,31.831,32.771,31.49,31.416,32.08,30.999,30.541,30.538,31.016,29.896,29.663,29.744,29.606,29.621,28.885
20,25.324,25.139,24.954,25.815,26.675,27.536,28.397,26.875,28.381,29.886,31.392,32.898,31.37,29.841,28.313,30.762,29.281,29.063,29.48,28.407,28.421,28.458,28.302,27.91,27.864,27.903,27.814,27.677,27.29,27.106,27.1
21,59.216,59.216,59.216,59.216,59.813,57.891,55.969,59.442,54.589,53.084,53.084,53.084,53.084,53.084,53.084,53.084,53.084,53.084,53.084,53.084,53.084,53.084,53.084,53.084,53.084,53.084,53.084,53.084,53.084,53.084,53.084
