Nation Code,1st Language,2nd Language,3rd Language
1,51,104,17
2,21,NaN,NaN
3,3,18,2
4,1,38,NaN
5,22,NaN,NaN
6,6,105,43
7,1,NaN,NaN
8,1,NaN,NaN
9,4,NaN,NaN
10,52,NaN,NaN
11,7,25,1
12,1,NaN,NaN
13,8,NaN,NaN
14,53,5,NaN
15,1,NaN,NaN
16,3,1,NaN
17,23,NaN,NaN
18,1,NaN,NaN
19,54,5,NaN
20,7,2,8
21,1,4,149
22,2,106,49
23,55,35,NaN
24,4,19,50
25,7,1,NaN
26,56,24,16
27,1,107,NaN
28,6,NaN,NaN
29,1,NaN,NaN
30,14,1,NaN
31,57,NaN,NaN
32,2,108,NaN
33,58,2,1
34,6,109,NaN
35,59,2,NaN
36,2,1,NaN
37,1,2,NaN
38,1,NaN,NaN
39,60,2,NaN
40,2,3,NaN
41,4,NaN,NaN
42,10,15,150
43,15,1,10
44,15,6,10
45,4,NaN,NaN
46,3,2,NaN
47,2,43,NaN
48,1,110,151
49,4,NaN,NaN
50,2,111,152
51,24,NaN,NaN
52,4,NaN,NaN
53,25,7,1
54,26,41,1
55,61,NaN,NaN
56,27,NaN,NaN
57,2,112,12
58,28,30,153
59,2,3,39
60,1,NaN,NaN
61,4,NaN,NaN
62,4,19,NaN
63,3,NaN,NaN
64,4,NaN,NaN
65,4,2,6
66,29,3,1
67,62,5,NaN
68,1,113,NaN
69,63,114,29
70,1,NaN,NaN
71,30,28,NaN
72,1,115,32
73,31,40,47
74,2,NaN,NaN
75,2,NaN,NaN
76,2,116,NaN
77,2,NaN,NaN
78,1,117,48
79,64,5,NaN
80,8,NaN,NaN
81,1,NaN,NaN
82,1,NaN,NaN
83,26,NaN,NaN
84,1,NaN,NaN
85,2,NaN,NaN
86,1,44,NaN
87,4,118,154
88,1,NaN,NaN
89,2,119,155
90,6,120,NaN
91,1,121,20
92,65,20,2
93,9,122,NaN
94,4,NaN,NaN
95,11,NaN,NaN
96,66,NaN,NaN
97,32,1,23
98,67,123,156
99,68,13,157
100,3,13,42
101,1,124,NaN
102,1,125,NaN
103,33,3,1
104,9,8,2
105,1,126,158
106,69,NaN,NaN
107,1,127,NaN
108,3,1,NaN
109,70,5,NaN
110,12,1,NaN
111,1,128,NaN
112,3,1,NaN
113,71,5,NaN
114,72,2,NaN
115,73,5,NaN
116,3,2,1
117,1,129,NaN
118,1,NaN,NaN
119,3,18,NaN
120,8,NaN,NaN
121,74,5,36
122,75,2,8
123,34,2,NaN
124,1,130,NaN
125,14,1,159
126,76,1,NaN
127,2,131,NaN
128,77,1,NaN
129,78,1,NaN
130,2,NaN,NaN
131,3,2,160
132,1,2,161
133,2,132,34
134,4,133,162
135,1,NaN,NaN
136,2,9,1
137,79,5,NaN
138,80,16,NaN
139,1,NaN,NaN
140,3,18,2
141,6,134,163
142,81,135,164
143,1,45,165
144,82,1,NaN
145,35,136,NaN
146,7,137,NaN
147,2,NaN,NaN
148,1,138,NaN
149,4,139,NaN
150,2,46,NaN
151,1,46,49
152,83,1,NaN
153,84,21,NaN
154,1,44,166
155,85,47,NaN
156,3,1,NaN
157,86,1,167
158,87,1,NaN
159,4,1,NaN
160,1,140,168
161,4,141,NaN
162,4,19,50
163,88,1,169
164,36,NaN,NaN
165,6,NaN,NaN
166,4,1,NaN
167,3,1,NaN
168,27,NaN,NaN
169,37,5,170
170,2,NaN,NaN
171,37,11,NaN
172,5,NaN,NaN
173,89,1,2
174,2,NaN,NaN
175,1,NaN,NaN
176,1,NaN,NaN
177,1,NaN,NaN
178,2,NaN,NaN
179,1,NaN,NaN
180,38,1,NaN
181,9,NaN,NaN
182,6,NaN,NaN
183,3,1,NaN
184,2,48,NaN
185,16,NaN,NaN
186,90,20,1
187,1,NaN,NaN
188,1,10,14
189,7,1,NaN
190,91,11,NaN
191,92,9,11
192,1,NaN,NaN
193,39,3,1
194,93,142,45
195,1,3,171
196,4,22,172
197,94,143,1
198,3,33,NaN
199,3,1,NaN
200,7,144,173
201,40,31,NaN
202,8,2,9
203,3,13,NaN
204,95,5,17
205,96,NaN,NaN
206,97,6,NaN
207,2,145,NaN
208,98,1,NaN
209,99,1,NaN
210,1,NaN,NaN
211,3,2,NaN
212,41,13,NaN
213,42,5,NaN
214,1,NaN,NaN
215,100,1,NaN
216,1,12,174
217,101,5,NaN
218,3,1,NaN
219,1,146,175
220,12,1,3
221,1,4,NaN
222,1,NaN,NaN
223,4,NaN,NaN
224,17,5,NaN
225,102,1,2
226,4,NaN,NaN
227,103,NaN,NaN
228,2,NaN,NaN
229,3,4,NaN
230,3,NaN,NaN
231,1,147,176
232,1,148,177
