Political Terror Scale,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,4,4.5,4.5,4.5,5,5,4.5,5,5,5,5,5,4.5,4,4.5,5,5,5,5,5,4.5,5,4,5,4.666666667,4.666666667,4.666666667,5,5,5,5
2,3,2.5,2,2,2.5,2.5,2.5,4,2.5,3,2.5,2.5,3,2,2.5,2.5,2.5,2.5,2,2,2,2,2,2,2,2.5,2,2,2,2,2
3,2,3,4,4.5,5,5,5,5,5,5,4.5,4.5,4,4.5,4,4,4,3.5,3,2.5,3,3,2,2.5,2.666666667,2.666666667,2.666666667,2.333333333,2.666666667,3,3
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,4,3,4.5,5,5,4.5,4.5,4,5,5,4.5,4.5,3.5,4,4,3.5,3,3.5,3,3.5,3,3,3,3.5,3.666666667,3,2.666666667,3,3,3,3
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,1,1,1,1,1,2,2,1,1,1
9,2.5,2.5,2,2,2,2,2.5,2,2.5,2.5,2,3,2.5,2,2.5,2,2,2,2,2.5,2,2.5,1.5,2,2.666666667,2,2,2,2,1.666666667,2.666666667
10,2,2,2,2,2,2,2,2.5,2.5,2.5,2,2,3,2,2.5,2,2,2.5,3,2.5,2.5,3,2.5,2.5,3,2.666666667,3,2.333333333,2.5,1.666666667,3.333333333
11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
